date,open,high,low,close,volume
2017-10-18 00:00:00+05:30,220.0,227.15,208.35,218.15,53828181
2017-10-23 00:00:00+05:30,219.95,227.35,213.6,224.9,5079738
2017-10-24 00:00:00+05:30,223.35,234.0,216.65,223.35,3779877
2017-10-25 00:00:00+05:30,225.0,226.35,215.45,218.5,2664900
2017-10-26 00:00:00+05:30,219.45,221.65,214.35,220.05,929853
2017-10-27 00:00:00+05:30,220.0,224.55,220.0,222.85,912102
2017-10-30 00:00:00+05:30,222.85,222.85,217.35,219.75,432153
2017-10-31 00:00:00+05:30,218.35,221.0,210.65,212.3,668439
2017-11-01 00:00:00+05:30,212.65,220.0,210.35,219.4,749550
2017-11-02 00:00:00+05:30,218.35,218.35,214.25,215.25,219087
2017-11-03 00:00:00+05:30,215.35,218.65,213.65,214.0,176025
2017-11-06 00:00:00+05:30,213.65,214.95,209.65,211.85,210147
2017-11-07 00:00:00+05:30,212.7,215.0,206.0,206.6,313359
2017-11-08 00:00:00+05:30,207.0,210.65,196.85,202.55,547548
2017-11-09 00:00:00+05:30,203.35,204.95,195.0,197.6,336486
2017-11-10 00:00:00+05:30,197.65,198.65,192.05,193.35,226230
2017-11-13 00:00:00+05:30,194.05,196.35,188.35,194.3,182985
2017-11-14 00:00:00+05:30,195.0,204.8,195.0,203.4,405459
2017-11-15 00:00:00+05:30,204.35,205.0,194.05,196.2,603528
2017-11-16 00:00:00+05:30,199.65,201.5,195.0,196.55,346827
2017-11-17 00:00:00+05:30,196.55,200.65,195.0,196.55,225996
2017-11-20 00:00:00+05:30,196.55,198.8,195.35,196.35,181725
2017-11-21 00:00:00+05:30,198.0,202.7,197.35,197.9,453756
2017-11-22 00:00:00+05:30,199.0,212.8,198.35,204.75,568665
2017-11-23 00:00:00+05:30,205.0,210.0,202.3,204.7,261192
2017-11-24 00:00:00+05:30,204.65,208.75,204.65,206.65,954777
2017-11-27 00:00:00+05:30,203.65,207.85,202.7,205.45,130602
2017-11-28 00:00:00+05:30,206.0,208.0,204.0,205.9,165018
2017-11-29 00:00:00+05:30,204.7,217.65,204.7,216.55,814503
2017-11-30 00:00:00+05:30,215.95,221.6,213.65,215.6,540597
2017-12-01 00:00:00+05:30,216.2,221.35,210.0,213.2,743070
2017-12-04 00:00:00+05:30,214.1,214.1,208.0,209.05,103062
2017-12-05 00:00:00+05:30,208.65,219.45,205.35,216.9,218373
2017-12-06 00:00:00+05:30,216.9,217.05,211.65,212.2,98862
2017-12-07 00:00:00+05:30,210.5,216.35,210.5,212.9,262371
2017-12-08 00:00:00+05:30,212.35,215.35,207.35,212.2,124581
2017-12-11 00:00:00+05:30,212.2,219.6,209.5,213.2,272571
2017-12-12 00:00:00+05:30,214.1,215.2,203.15,204.8,292311
2017-12-13 00:00:00+05:30,203.65,208.3,203.15,206.35,121965
2017-12-14 00:00:00+05:30,209.35,222.55,201.0,216.55,472116
2017-12-15 00:00:00+05:30,217.0,218.65,210.45,212.45,117585
2017-12-18 00:00:00+05:30,211.85,215.0,203.4,213.75,69744
2017-12-19 00:00:00+05:30,215.35,216.65,210.0,213.95,221502
2017-12-20 00:00:00+05:30,213.65,215.0,210.0,210.6,111753
2017-12-21 00:00:00+05:30,208.95,213.7,208.7,209.4,95763
2017-12-22 00:00:00+05:30,211.05,213.25,208.75,209.8,45282
2017-12-26 00:00:00+05:30,210.0,211.0,207.05,207.7,71712
2017-12-27 00:00:00+05:30,210.0,210.0,207.0,207.65,35307
2017-12-28 00:00:00+05:30,207.65,209.65,207.0,208.35,79071
2017-12-29 00:00:00+05:30,206.65,210.0,202.55,208.9,155055
2018-01-01 00:00:00+05:30,207.65,209.5,206.85,208.45,30654
2018-01-02 00:00:00+05:30,206.9,209.35,204.7,205.1,36723
2018-01-03 00:00:00+05:30,206.65,207.7,204.0,204.7,47325
2018-01-04 00:00:00+05:30,205.7,207.0,202.35,202.85,70098
2018-01-05 00:00:00+05:30,201.55,205.85,199.8,203.05,325911
2018-01-08 00:00:00+05:30,203.6,206.55,203.6,204.0,55440
2018-01-09 00:00:00+05:30,203.65,211.6,203.65,207.45,609798
2018-01-10 00:00:00+05:30,207.65,210.05,204.05,209.05,67155
2018-01-11 00:00:00+05:30,209.15,210.2,208.05,208.7,69585
2018-01-12 00:00:00+05:30,213.35,219.65,213.3,215.25,740268
2018-01-15 00:00:00+05:30,218.35,218.5,210.0,212.45,84117
2018-01-16 00:00:00+05:30,214.0,215.0,205.65,207.75,171525
2018-01-17 00:00:00+05:30,206.65,211.75,203.35,208.2,165555
2018-01-18 00:00:00+05:30,211.35,211.35,205.05,207.75,90099
2018-01-19 00:00:00+05:30,207.75,213.35,205.0,208.7,240513
2018-01-22 00:00:00+05:30,209.65,214.15,206.4,212.9,86694
2018-01-23 00:00:00+05:30,213.35,216.35,211.7,215.8,231453
2018-01-24 00:00:00+05:30,215.8,219.0,211.7,214.4,564720
2018-01-25 00:00:00+05:30,212.65,215.1,210.0,211.5,248859
2018-01-29 00:00:00+05:30,211.65,214.65,211.65,213.4,69804
2018-01-30 00:00:00+05:30,213.25,214.2,207.65,212.8,106716
2018-01-31 00:00:00+05:30,211.0,214.0,203.7,209.65,113841
2018-02-01 00:00:00+05:30,209.95,214.0,206.65,212.95,97731
2018-02-02 00:00:00+05:30,207.0,210.35,203.35,206.0,86418
2018-02-05 00:00:00+05:30,202.35,210.0,200.0,208.35,78786
2018-02-06 00:00:00+05:30,208.25,208.25,199.0,202.45,240168
2018-02-07 00:00:00+05:30,203.35,205.0,196.85,198.6,146457
2018-02-08 00:00:00+05:30,201.6,201.6,198.4,199.75,68790
2018-02-09 00:00:00+05:30,199.35,209.0,196.65,204.95,108756
2018-02-12 00:00:00+05:30,203.15,206.65,202.05,203.35,375288
2018-02-14 00:00:00+05:30,203.75,206.65,203.65,206.4,25548
2018-02-15 00:00:00+05:30,205.0,207.8,203.65,205.1,24303
2018-02-16 00:00:00+05:30,204.4,207.25,202.85,205.5,37137
2018-02-19 00:00:00+05:30,207.35,207.35,202.35,204.45,339597
2018-02-20 00:00:00+05:30,204.1,206.7,203.35,205.9,26733
2018-02-21 00:00:00+05:30,203.0,206.45,200.2,201.05,97209
2018-02-22 00:00:00+05:30,200.65,202.75,199.0,200.25,91662
2018-02-23 00:00:00+05:30,200.7,202.0,199.35,200.35,61239
2018-02-26 00:00:00+05:30,198.8,202.15,197.7,199.95,47610
2018-02-27 00:00:00+05:30,199.2,201.65,198.05,199.9,218499
2018-02-28 00:00:00+05:30,201.1,201.1,196.85,197.7,933099
2018-03-01 00:00:00+05:30,196.95,199.9,196.85,198.55,18924
2018-03-05 00:00:00+05:30,198.35,199.65,195.0,197.0,41319
