date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,44.4,44.4,44.4,44.4,0
2015-02-02 10:15:00+05:30,44.4,44.4,44.4,44.4,0
2015-02-02 11:15:00+05:30,44.4,44.4,44.4,44.4,0
2015-02-02 12:15:00+05:30,44.4,44.5,44.4,44.5,400
2015-02-02 13:15:00+05:30,44.5,44.5,44.4,44.5,0
2015-02-02 14:15:00+05:30,44.5,44.5,44.5,44.5,100
2015-02-02 15:15:00+05:30,44.5,44.5,44.5,44.5,0
2015-02-03 09:15:00+05:30,44.5,44.5,43.4,43.4,8
2015-02-03 10:15:00+05:30,43.4,44.0,43.4,44.0,29
2015-02-03 11:15:00+05:30,44.0,44.0,44.0,44.0,0
2015-02-03 12:15:00+05:30,44.0,46.0,44.0,45.0,1687
2015-02-03 13:15:00+05:30,45.0,45.0,45.0,45.0,0
2015-02-03 14:15:00+05:30,45.0,45.0,43.95,43.95,157
2015-02-03 15:15:00+05:30,44.25,44.25,44.25,44.25,349
2015-02-04 09:15:00+05:30,44.25,44.25,44.25,44.25,0
2015-02-04 10:15:00+05:30,44.25,44.25,44.25,44.25,0
2015-02-04 11:15:00+05:30,44.25,45.0,43.7,43.7,229
2015-02-04 12:15:00+05:30,43.7,43.95,43.7,43.95,27
2015-02-04 13:15:00+05:30,43.95,43.95,43.95,43.95,0
2015-02-04 14:15:00+05:30,43.95,45.0,43.95,44.2,5029
2015-02-04 15:15:00+05:30,44.2,44.3,44.2,44.3,109
2015-02-05 09:15:00+05:30,44.3,44.3,43.0,43.15,294
2015-02-05 10:15:00+05:30,43.15,45.0,43.15,45.0,500
2015-02-05 11:15:00+05:30,45.0,47.0,45.0,47.0,143
2015-02-05 12:15:00+05:30,47.0,47.5,46.0,46.0,492
2015-02-05 13:15:00+05:30,46.0,46.2,46.0,46.1,2
2015-02-05 14:15:00+05:30,46.1,46.25,45.95,46.25,5
2015-02-05 15:15:00+05:30,45.95,45.95,45.15,45.15,750
2015-02-06 09:15:00+05:30,43.1,43.1,43.1,43.1,0
2015-02-06 10:15:00+05:30,43.1,43.75,43.1,43.75,29
2015-02-06 11:15:00+05:30,43.75,43.75,43.75,43.75,1
2015-02-06 12:15:00+05:30,43.75,43.75,43.75,43.75,0
2015-02-06 13:15:00+05:30,43.75,44.0,43.75,44.0,255
2015-02-06 14:15:00+05:30,44.0,44.0,43.2,43.2,500
